empresa,nicho,cidade,telefone,email,site,google_maps_url
"Oral Unic Lapa-SP","clínica odontológica","R. Pio XI, 576 - Lapa, São Paulo - SP, 05060-000","01128949525","recepcao@oraluniclapa.com.br","https://oraluniclapa.com.br/","https://www.google.com.br/maps/place/Oral+Unic+Lapa-SP/data=!4m7!3m6!1s0x94cef90d78f781bb:0x12a22547f508bedc!8m2!3d-23.528806!4d-46.711046!16s%2Fg%2F11p64s5f4f!19sChIJu4H3eA35zpQR3L4I9UclohI?authuser=0&hl=pt-BR&rclk=1"
"Clínica Bela Vista","clínica odontológica","R. Condessa de São Joaquim, 339 - Bela Vista, São Paulo - SP, 01320-000","011989754251","contato@clinicabelavista.com.br","http://www.clinicabelavista.com/","https://www.google.com.br/maps/place/Cl%C3%ADnica+Bela+Vista/data=!4m7!3m6!1s0x94ce59afb586e677:0x86e220eb1dd3c1d1!8m2!3d-23.5575954!4d-46.640412!16s%2Fg%2F1pp2vjbvm!19sChIJd-aGta9ZzpQR0cHTHesg4oY?authuser=0&hl=pt-BR&rclk=1"
"Nippo Dents Clínica Odontológica | Melhores Dentistas | Implantes Dentários São Paulo","clínica odontológica","Av. Fagundes Filho, 141 - cj. 66 - São Judas, São Paulo - SP, 04304-010","011963263528","nippodents@gmail.com","https://nippodents.com.br/","https://www.google.com.br/maps/place/Nippo+Dents+Cl%C3%ADnica+Odontol%C3%B3gica+%7C+Melhores+Dentistas+%7C+Implantes+Dent%C3%A1rios+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94ce5af87b5b96b5:0x4c8f61042fe52350!8m2!3d-23.6265507!4d-46.6400251!16s%2Fg%2F11c20svbr6!19sChIJtZZbe_hazpQRUCPlLwRhj0w?authuser=0&hl=pt-BR&rclk=1"
"Clínica Odontológica Oral 360 Copacabana | Dentista","clínica odontológica","R. Figueiredo de Magalhães, 226 - Sobreloja, sala 201 a 205 - Copacabana, Rio de Janeiro - RJ, 22031-012","021998133001","faleconosco@oral360.com.br","http://www.oral360.com.br/","https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+Oral+360+Copacabana+%7C+Dentista/data=!4m7!3m6!1s0x9bd55df880e3f3:0xcb61af14c378a4e1!8m2!3d-22.9700566!4d-43.1860331!16s%2Fg%2F11pqrr98q0!19sChIJ8-OA-F3VmwAR4aR4wxSvYcs?authuser=0&hl=pt-BR&rclk=1"
"Clínica Sorrio | Implante Dentário | Dentista de emergência | Clínica odontológica | Copacabana | Rio de Janeiro - RJ","clínica odontológica","R. Barata Ribeiro, 529 - Loja A - Copacabana, Rio de Janeiro - RJ, 22041-011","02139595277","contato@sorrio.com.br","https://www.sorrio.com.br/","https://www.google.com.br/maps/place/Cl%C3%ADnica+Sorrio+%7C+Implante+Dent%C3%A1rio+%7C+Dentista+de+emerg%C3%AAncia+%7C+Cl%C3%ADnica+odontol%C3%B3gica+%7C+Copacabana+%7C+Rio+de+Janeiro+-+RJ/data=!4m7!3m6!1s0x9bd544b8b870bd:0xc340e1fb3bc60719!8m2!3d-22.9705723!4d-43.1883009!16s%2Fg%2F1tdpn9hy!19sChIJvXC4uETVmwARGQfGO_vhQMM?authuser=0&hl=pt-BR&rclk=1"
"Clínica Odontológica Oral 360 Tijuca | Dentista Tijuca | Implantes Dentários","clínica odontológica","Rua Conde de Bonfim, 302 - 4º Andar - Tijuca, Rio de Janeiro - RJ, 20520-054","021998133001","faleconosco@oral360.com.br","http://oral360.com.br/","https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+Oral+360+Tijuca+%7C+Dentista+Tijuca+%7C+Implantes+Dent%C3%A1rios/data=!4m7!3m6!1s0x997e45e17aaaab:0xf2b729153df03a77!8m2!3d-22.9231535!4d-43.231498!16s%2Fg%2F11fqcz02kh!19sChIJq6p64UV-mQARdzrwPRUpt_I?authuser=0&hl=pt-BR&rclk=1"
"Clínica Odontológica Odontocor - Dentista Centro Rj | Especialista em Tratamento de Canal","clínica odontológica","Av. Pres. Vargas, 633 - sala 402 - Centro, Rio de Janeiro - RJ, 20071-905","021996018629","046c982186afa15dc9513490293d26b1@o37417.ingest.sentry.io","https://www.dentistacentrodorio.com.br/","https://www.google.com.br/maps/place/Cl%C3%ADnica+Odontol%C3%B3gica+Odontocor+-+Dentista+Centro+Rj+%7C+Especialista+em+Tratamento+de+Canal/data=!4m7!3m6!1s0x997fd6b2d972ad:0xe7a4d465323feeda!8m2!3d-22.9024582!4d-43.181384!16s%2Fg%2F11sv1pv_8v!19sChIJrXLZstZ_mQAR2u4_MmXUpOc?authuser=0&hl=pt-BR&rclk=1"
"Instituto Oral Premium - Dentista 24 Horas","clínica odontológica","Av. Getúlio Vargas, 1649 - Savassi, Belo Horizonte - MG, 30112-024","031997367514","contato@dentista24horas.net.br","http://dentista24horas.net.br/","https://www.google.com.br/maps/place/Instituto+Oral+Premium+-+Dentista+24+Horas/data=!4m7!3m6!1s0xa69720665b5827:0xb08253386a1d9b9c!8m2!3d-19.939687!4d-43.937823!16s%2Fg%2F11fp3q37p0!19sChIJJ1hbZiCXpgARnJsdajhTgrA?authuser=0&hl=pt-BR&rclk=1"
"Vitare Odontologia | Clínica Odontológica em Betim | Implantes | Ortodontia","clínica odontológica","Av. São Caetano, 21 - São Caetano, Betim - MG, 32677-800","031991818329","vitareodontologia@gmail.com","https://vitareodontologia.com.br/","https://www.google.com.br/maps/place/Vitare+Odontologia+%7C+Cl%C3%ADnica+Odontol%C3%B3gica+em+Betim+%7C+Implantes+%7C+Ortodontia/data=!4m7!3m6!1s0xa6c10b33861d3f:0xd1ef724926c29c11!8m2!3d-19.935918!4d-44.113018!16s%2Fg%2F11vzybbynr!19sChIJPx2GMwvBpgAREZzCJkly79E?authuser=0&hl=pt-BR&rclk=1"
"Clinica Odontológica Bias Fortes Belo Horizonte","clínica odontológica","Av. Bias Fortes, 247 - Lourdes, Belo Horizonte - MG, 30170-010","03130581862","%20biasfortes@biasfortes.com.br","http://www.clinicabiasfortes.com.br/","https://www.google.com.br/maps/place/Clinica+Odontol%C3%B3gica+Bias+Fortes+Belo+Horizonte/data=!4m7!3m6!1s0xa699de5e62f6cd:0xd4f80c3462184016!8m2!3d-19.9310065!4d-43.9402988!16s%2Fg%2F1tycxwxk!19sChIJzfZiXt6ZpgARFkAYYjQM-NQ?authuser=0&hl=pt-BR&rclk=1"
